Running on GPU
Iter:   1, Energy:  -35.08142, Int:  -35.50399, Ext:   -0.42257, Loss_change:   35.08141
Iter:   2, Energy:  -35.93695, Int:  -36.33178, Ext:   -0.39483, Loss_change:    0.85553
Iter:   3, Energy:  -36.25136, Int:  -36.63168, Ext:   -0.38032, Loss_change:    0.31442
Iter:   4, Energy:  -36.35695, Int:  -36.74474, Ext:   -0.38779, Loss_change:    0.10558
Iter:   5, Energy:  -36.46398, Int:  -36.84940, Ext:   -0.38542, Loss_change:    0.10703
Iter:   6, Energy:  -36.51638, Int:  -36.91234, Ext:   -0.39597, Loss_change:    0.05240
Iter:   7, Energy:  -36.55252, Int:  -36.94718, Ext:   -0.39466, Loss_change:    0.03615
Iter:   8, Energy:  -36.58914, Int:  -36.98547, Ext:   -0.39633, Loss_change:    0.03662
Iter:   9, Energy:  -36.60462, Int:  -36.99217, Ext:   -0.38756, Loss_change:    0.01548
Iter:  10, Energy:  -36.61779, Int:  -37.00663, Ext:   -0.38884, Loss_change:    0.01317
Iter:  11, Energy:  -36.62778, Int:  -37.01896, Ext:   -0.39118, Loss_change:    0.00999
Iter:  12, Energy:  -36.63920, Int:  -37.02974, Ext:   -0.39055, Loss_change:    0.01141
Iter:  13, Energy:  -36.64647, Int:  -37.03455, Ext:   -0.38808, Loss_change:    0.00727
Iter:  14, Energy:  -36.65424, Int:  -37.04421, Ext:   -0.38997, Loss_change:    0.00777
Iter:  15, Energy:  -36.66120, Int:  -37.04983, Ext:   -0.38863, Loss_change:    0.00696
Iter:  16, Energy:  -36.66795, Int:  -37.05899, Ext:   -0.39104, Loss_change:    0.00675
Iter:  17, Energy:  -36.67408, Int:  -37.06021, Ext:   -0.38614, Loss_change:    0.00613
Iter:  18, Energy:  -36.67844, Int:  -37.06791, Ext:   -0.38947, Loss_change:    0.00436
Iter:  19, Energy:  -36.68386, Int:  -37.07207, Ext:   -0.38821, Loss_change:    0.00542
Iter:  20, Energy:  -36.68846, Int:  -37.07488, Ext:   -0.38642, Loss_change:    0.00459
Iter:  21, Energy:  -36.69169, Int:  -37.08171, Ext:   -0.39002, Loss_change:    0.00323
Iter:  22, Energy:  -36.69516, Int:  -37.08276, Ext:   -0.38760, Loss_change:    0.00347
Iter:  23, Energy:  -36.69750, Int:  -37.08545, Ext:   -0.38795, Loss_change:    0.00234
Iter:  24, Energy:  -36.70107, Int:  -37.08817, Ext:   -0.38710, Loss_change:    0.00357
Iter:  25, Energy:  -36.70600, Int:  -37.09175, Ext:   -0.38575, Loss_change:    0.00493
Iter:  26, Energy:  -36.71166, Int:  -37.09755, Ext:   -0.38588, Loss_change:    0.00566
Iter:  27, Energy:  -36.71619, Int:  -37.10308, Ext:   -0.38689, Loss_change:    0.00453
Iter:  28, Energy:  -36.72220, Int:  -37.10870, Ext:   -0.38649, Loss_change:    0.00601
Iter:  29, Energy:  -36.72729, Int:  -37.11319, Ext:   -0.38589, Loss_change:    0.00509
Iter:  30, Energy:  -36.73203, Int:  -37.11668, Ext:   -0.38464, Loss_change:    0.00474
Iter:  31, Energy:  -36.73699, Int:  -37.12435, Ext:   -0.38736, Loss_change:    0.00495
Iter:  32, Energy:  -36.74178, Int:  -37.12644, Ext:   -0.38466, Loss_change:    0.00479
Iter:  33, Energy:  -36.74554, Int:  -37.12991, Ext:   -0.38437, Loss_change:    0.00376
Iter:  34, Energy:  -36.74957, Int:  -37.13480, Ext:   -0.38523, Loss_change:    0.00403
Iter:  35, Energy:  -36.75333, Int:  -37.13852, Ext:   -0.38519, Loss_change:    0.00376
Iter:  36, Energy:  -36.75567, Int:  -37.14026, Ext:   -0.38460, Loss_change:    0.00234
Iter:  37, Energy:  -36.75938, Int:  -37.14327, Ext:   -0.38389, Loss_change:    0.00372
Iter:  38, Energy:  -36.76217, Int:  -37.14734, Ext:   -0.38517, Loss_change:    0.00279
Iter:  39, Energy:  -36.76419, Int:  -37.15024, Ext:   -0.38605, Loss_change:    0.00202
Iter:  40, Energy:  -36.76568, Int:  -37.15167, Ext:   -0.38599, Loss_change:    0.00149
Iter:  41, Energy:  -36.76820, Int:  -37.15303, Ext:   -0.38483, Loss_change:    0.00252
Iter:  42, Energy:  -36.77049, Int:  -37.15403, Ext:   -0.38354, Loss_change:    0.00230
Iter:  43, Energy:  -36.77245, Int:  -37.15702, Ext:   -0.38456, Loss_change:    0.00196
Iter:  44, Energy:  -36.77495, Int:  -37.15978, Ext:   -0.38483, Loss_change:    0.00250
Iter:  45, Energy:  -36.77646, Int:  -37.16262, Ext:   -0.38616, Loss_change:    0.00150
Iter:  46, Energy:  -36.77844, Int:  -37.16379, Ext:   -0.38535, Loss_change:    0.00198
Iter:  47, Energy:  -36.77994, Int:  -37.16569, Ext:   -0.38575, Loss_change:    0.00150
Iter:  48, Energy:  -36.78150, Int:  -37.16844, Ext:   -0.38694, Loss_change:    0.00156
Iter:  49, Energy:  -36.78305, Int:  -37.16853, Ext:   -0.38548, Loss_change:    0.00156
Iter:  50, Energy:  -36.78523, Int:  -37.17007, Ext:   -0.38484, Loss_change:    0.00218
Iter:  51, Energy:  -36.78729, Int:  -37.17266, Ext:   -0.38537, Loss_change:    0.00206
Iter:  52, Energy:  -36.78922, Int:  -37.17456, Ext:   -0.38534, Loss_change:    0.00193
Iter:  53, Energy:  -36.79286, Int:  -37.17806, Ext:   -0.38520, Loss_change:    0.00364
Iter:  54, Energy:  -36.79489, Int:  -37.18045, Ext:   -0.38556, Loss_change:    0.00203
Iter:  55, Energy:  -36.79654, Int:  -37.18302, Ext:   -0.38648, Loss_change:    0.00165
Iter:  56, Energy:  -36.79780, Int:  -37.18307, Ext:   -0.38527, Loss_change:    0.00126
Iter:  57, Energy:  -36.79948, Int:  -37.18546, Ext:   -0.38598, Loss_change:    0.00168
Iter:  58, Energy:  -36.80167, Int:  -37.18779, Ext:   -0.38613, Loss_change:    0.00218
Iter:  59, Energy:  -36.80396, Int:  -37.19060, Ext:   -0.38665, Loss_change:    0.00229
Iter:  60, Energy:  -36.80605, Int:  -37.19170, Ext:   -0.38565, Loss_change:    0.00209
Iter:  61, Energy:  -36.80952, Int:  -37.19423, Ext:   -0.38472, Loss_change:    0.00347
Iter:  62, Energy:  -36.81222, Int:  -37.19641, Ext:   -0.38419, Loss_change:    0.00271
Iter:  63, Energy:  -36.81470, Int:  -37.19989, Ext:   -0.38520, Loss_change:    0.00247
Iter:  64, Energy:  -36.81767, Int:  -37.20316, Ext:   -0.38549, Loss_change:    0.00297
Iter:  65, Energy:  -36.82213, Int:  -37.20590, Ext:   -0.38377, Loss_change:    0.00446
Iter:  66, Energy:  -36.82804, Int:  -37.21218, Ext:   -0.38414, Loss_change:    0.00591
Iter:  67, Energy:  -36.83303, Int:  -37.21616, Ext:   -0.38313, Loss_change:    0.00499
Iter:  68, Energy:  -36.83727, Int:  -37.21823, Ext:   -0.38096, Loss_change:    0.00424
Iter:  69, Energy:  -36.84664, Int:  -37.22931, Ext:   -0.38267, Loss_change:    0.00937
Iter:  70, Energy:  -36.85875, Int:  -37.23470, Ext:   -0.37594, Loss_change:    0.01211
Iter:  71, Energy:  -36.88184, Int:  -37.25643, Ext:   -0.37459, Loss_change:    0.02308
Iter:  72, Energy:  -36.90028, Int:  -37.26715, Ext:   -0.36687, Loss_change:    0.01844
Iter:  73, Energy:  -36.93891, Int:  -37.29701, Ext:   -0.35810, Loss_change:    0.03863
Iter:  74, Energy:  -36.97832, Int:  -37.32736, Ext:   -0.34904, Loss_change:    0.03941
Iter:  75, Energy:  -37.02367, Int:  -37.36708, Ext:   -0.34341, Loss_change:    0.04535
